attribute_id,project,risk,rationale
nf-osi:CompoundDoseUnit,NF-OSI,Low,"This field captures the unit for a compound dose (e.g., mg, µg/kg) which is technical study metadata rather than personal or identifying information. It does not contain identifiers or sensitive clinical details and therefore is classified as Low risk."
gf:Concentration,GF,NeedsReview,"Description is 'TBD' with no validation rules or valid values; scope and semantics are unclear (could be biospecimen/clinical, assay, or technical). Insufficient information to assess sensitivity — requires clarification (units, context, whether linked to individual)."
nf-osi:ConcentrationMaterial,NF-OSI,Low,This is a numeric lab measurement (concentration of a material) and does not directly identify an individual or provide quasi-identifying demographic/visit information. It is technical biosample metadata rather than personal or sensitive clinical data.
nf-osi:ConcentrationMaterialUnit,NF-OSI,Low,"Describes a unit of measure for material concentration (e.g., mg/mL). This is non-personal technical metadata (measurement unit) and does not reveal identity, contact, location, or sensitive attributes."
nf-osi:ConcentrationNaClUnit,NF-OSI,Low,"Specifies the unit for NaCl concentration (e.g., mM). This is non-personal technical measurement metadata and does not identify individuals or sensitive attributes."
el:Consortium,EL,Low,The attribute is the name of a consortium (organizational/study-level identifier). This is non-personal study/organizational metadata that does not directly identify individuals or contain sensitive personal/clinical information.
htan:Contamination,HTAN,Low,This is a technical sequencing QC metric (fraction of reads from cross-sample contamination produced by GATK4). It conveys sample quality information but does not directly identify individuals or contain sensitive personal or clinical data.
htan2:ContaminationError,HTAN2,Low,"Numeric technical metric (GATK4 estimate of cross-sample contamination) describing sample quality. It does not directly identify individuals, disclose contact/clinical details, or serve as a quasi-identifier."
htan:ContaminationError,HTAN,Low,"This is a numeric technical QC metric (GATK4 estimate of cross-sample contamination). It does not directly identify an individual or provide sensitive personal/clinical details and is standard sequencing/instrument metadata, so risk is low."
el:ControlType,EL,Low,"Describes type of control/sample used for normalization and batch correction (e.g., GIS, NIST SRM 1950, study pool). Contains no personal identifiers, demographics, or sensitive clinical/behavioral information—technical assay metadata only."
el:ConversionRatio,EL,Low,"This is a technical assay quality metric (percentage/ratio of bisulfite conversion efficiency) related to lab processing of specimens. It does not contain direct identifiers, quasi-identifiers, or sensitive clinical/financial information and therefore constitutes non-personal technical metadata."
el:ConversionRatioUnits,EL,Low,Units of measurement are non-personal technical metadata (study/measurement context) and do not contain identifying information or quasi-identifiers; no sensitive content indicated.
htan2:CosMxAssayType,HTAN2,Low,"Describes technical assay metadata (type of barcode/assay: RNA probe vs protein antibody). Does not contain personal identifiers, quasi-identifiers, or sensitive clinical/financial data; it is non-personal technical metadata."
htan:CosMxAssayType,HTAN,Low,Describes technical assay type (RNA probe vs protein antibody) and barcode specification for images; this is non-personal technical metadata about the experimental assay rather than an identifier or sensitive individual-level attribute.
htan2:CrosslinkingCondtion,HTAN2,Low,"Describes experimental/technical laboratory conditions for DNA crosslinking (protocol parameters) — non-personal technical metadata, not identifying or sensitive personal/clinical information."
gf:CryopreservedCellsinSample,GF,Low,Indicates a sample-processing detail (whether library prep used revived frozen cells). This is technical/processing metadata rather than an identifier or quasi-identifier and does not directly enable re-identification.
htan2:CryopreservedCellsinSample,HTAN2,Low,"This describes a technical sample-processing detail (whether library prep used revived frozen cells). It does not identify an individual or provide quasi-identifying demographic/clinical information, so it is non-personal technical metadata."
htan:CryopreservedCellsinSample,HTAN,Low,"This is technical sample-processing metadata indicating whether library prep used revived frozen cells. It does not identify individuals or provide quasi-identifiers and is non-personal experimental information, so risk is Low."
gf:CycleNumber,GF,NeedsReview,"Description is listed as TBD and there are no validation_rules or valid_values. The meaning of 'CycleNumber' is unclear (could be visit/treatment cycle, menstrual cycle, instrument cycle, etc.), so sensitivity cannot be determined without further information."
htan2:DMCCallingTool,HTAN2,Low,Describes the software/tool used for calling differentially methylated CpGs/regions — technical analysis metadata without personal identifiers or sensitive subject-level information; thus non-personal technical metadata with low sensitivity.
htan:DMCCallingTool,HTAN,Low,Describes the software/tool used for calling differentially methylated CpG/regions — technical analytic metadata (non-personal). Contains no identifiers or quasi-identifiers and does not reveal sensitive personal or clinical information.
htan2:DMCCallingWorkflowURL,HTAN2,Low,"Describes a technical workflow name/URL used to analyze a dataset. This is non-personal technical metadata (analysis/process identifier) and does not contain direct identifiers, quasi-identifiers, or sensitive subject information."
